chapter_number,chapter_title,article_number,article_title,content
Chương I,QUY ĐỊNH CHUNG,1,Phạm vi điều chỉnh,"Nghị định này quy định về:
1. Điều kiện bảo hiểm, mức phí bảo hiểm, số tiền bảo hiểm tối thiểu đối với bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, bảo hiểm cháy, nổ bắt buộc, bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng.
2. Cơ chế quản lý, sử dụng Quỹ bảo hiểm xe cơ giới; mức thu, chế độ quản lý, sử dụng nguồn thu từ bảo hiểm cháy, nổ bắt buộc cho hoạt động phòng cháy, chữa cháy.
3. Trách nhiệm của các bộ, cơ quan có liên quan, bên mua bảo hiểm và doanh nghiệp bảo hiểm trong việc thực hiện bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, bảo hiểm cháy, nổ bắt buộc, bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng."
Chương I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,"Nghị định này áp dụng đối với:
1. Chủ xe cơ giới tham gia giao thông, hoạt động trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam đối với bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới.
2. Cơ quan, tổ chức và cá nhân có cơ sở có nguy hiểm về cháy, nổ theo quy định của pháp luật phòng cháy và chữa cháy đối với bảo hiểm cháy, nổ bắt buộc.
3. Chủ đầu tư, nhà thầu theo quy định của pháp luật xây dựng đối với bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng.
4. Doanh nghiệp bảo hiểm phi nhân thọ, chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài (sau đây gọi là “doanh nghiệp bảo hiểm”); doanh nghiệp tái bảo hiểm, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là “doanh nghiệp tái bảo hiểm”).
5. Cơ quan, tổ chức, cá nhân khác có liên quan đến bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, bảo hiểm cháy, nổ bắt buộc, bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng."
Chương I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:
1. Chủ xe cơ giới là chủ sở hữu xe cơ giới hoặc được chủ sở hữu xe cơ giới giao chiếm hữu, sử dụng hợp pháp xe cơ giới.
2. Xe cơ giới hoạt động là xe cơ giới đang vận hành gồm di chuyển, dừng xe, đỗ xe có sự điều khiển của chủ xe cơ giới hoặc người lái xe.
3. Xe cơ giới tham gia giao thông là việc chủ xe cơ giới hoặc người lái xe điều khiển xe cơ giới tham gia giao thông đường bộ.
4. Nhà thầu tư vấn là nhà thầu tư vấn khảo sát xây dựng, nhà thầu tư vấn thiết kế xây dựng của công trình xây dựng từ cấp II trở lên.
5. Người thứ ba
a) Đối với bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới: Người thứ ba là người bị thiệt hại về sức khỏe, tính mạng, tài sản do xe cơ giới gây ra, trừ những người sau: Người lái xe, người trên xe, hành khách trên chính chiếc xe đó; chủ sở hữu xe trừ trường hợp chủ sở hữu đã giao cho tổ chức, cá nhân khác chiếm hữu, sử dụng chiếc xe đó.
b) Đối với bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng: Người thứ ba là bên bị thiệt hại về sức khỏe, tính mạng, tài sản hoặc quyền, lợi ích hợp pháp khác có nguyên nhân từ việc khảo sát xây dựng, thiết kế xây dựng, thi công xây dựng trừ doanh nghiệp bảo hiểm, bên mua bảo hiểm, người lao động thi công trên công trường.
6. Mức khấu trừ bảo hiểm là số tiền mà bên mua bảo hiểm phải tự chịu trong mỗi sự kiện bảo hiểm.
7. Đưa vào sử dụng là việc đưa công trình, hạng mục công trình xây dựng vào vận hành, khai thác.
8. Bệnh nghề nghiệp theo quy định tại Luật An toàn, vệ sinh lao động.
9. Người lao động theo quy định tại Bộ luật Lao động.
10. Tai nạn lao động theo quy định tại Luật An toàn, vệ sinh lao động."
Chương I,QUY ĐỊNH CHUNG,4,Nguyên tắc chung,"1. Cơ quan, tổ chức và cá nhân quy định tại khoản 1, khoản 2, khoản 3 Điều 2 Nghị định này (sau đây gọi là “bên mua bảo hiểm”) phải mua bảo hiểm bắt buộc tại các doanh nghiệp bảo hiểm được phép triển khai nghiệp vụ bảo hiểm theo quy định pháp luật.
2. Bên mua bảo hiểm và doanh nghiệp bảo hiểm triển khai bảo hiểm bắt buộc theo điều kiện bảo hiểm, mức phí bảo hiểm, số tiền bảo hiểm tối thiểu quy định tại Nghị định này.
3. Ngoài việc tham gia bảo hiểm bắt buộc theo điều kiện bảo hiểm, mức phí bảo hiểm, số tiền bảo hiểm tối thiểu hoặc giới hạn trách nhiệm bảo hiểm quy định tại Nghị định này, bên mua bảo hiểm và doanh nghiệp bảo hiểm có thể thỏa thuận tại hợp đồng bảo hiểm về mở rộng điều kiện bảo hiểm, số tiền bảo hiểm tăng thêm và mức phí bảo hiểm bổ sung tương ứng phù hợp với quy định pháp luật. Trong trường hợp này, doanh nghiệp bảo hiểm có trách nhiệm tách riêng phần bảo hiểm bắt buộc trong hợp đồng bảo hiểm.
Nhà nước khuyến khích các cơ quan, tổ chức và cá nhân không thuộc đối tượng phải mua bảo hiểm bắt buộc theo quy định tại Nghị định này mua bảo hiểm trên cơ sở thỏa thuận với doanh nghiệp bảo hiểm và phù hợp với quy định pháp luật.
4. Trong bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, đối với mỗi xe cơ giới, trách nhiệm bồi thường bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới chỉ phát sinh theo một hợp đồng bảo hiểm duy nhất.
5. Doanh nghiệp bảo hiểm có quyền từ chối bán bảo hiểm bắt buộc trong các trường hợp sau:
a) Đối với bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới:
Xe cơ giới hết niên hạn sử dụng theo quy định của pháp luật.
b) Đối với bảo hiểm cháy, nổ bắt buộc:
Cơ sở có nguy hiểm về cháy, nổ chưa được nghiệm thu về phòng cháy và chữa cháy theo quy định pháp luật.
Cơ sở có nguy hiểm về cháy, nổ không có biên bản kiểm tra an toàn về phòng cháy và chữa cháy của cơ quan Công an có thẩm quyền hoặc biên bản kiểm tra đã quá 1 năm tính từ thời điểm lập đến thời điểm mua bảo hiểm cháy, nổ bắt buộc.
Cơ sở có nguy hiểm về cháy, nổ đang bị tạm đình chỉ hoặc đình chỉ hoạt động do vi phạm quy định pháp luật phòng cháy và chữa cháy.
c) Đối với bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng:
Bên mua bảo hiểm không đáp ứng đầy đủ điều kiện năng lực hoạt động xây dựng quy định tại Luật Xây dựng và các văn bản hướng dẫn thi hành.
6. Chi phí mua bảo hiểm bắt buộc:
a) Đối với bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới và bảo hiểm cháy, nổ bắt buộc: Bên mua bảo hiểm được tính chi phí mua bảo hiểm bắt buộc vào giá thành sản phẩm, dịch vụ hoặc chi phí hoạt động kinh doanh (đối với cơ sở sản xuất kinh doanh) hoặc vào chi thường xuyên (đối với cơ quan hành chính nhà nước, đơn vị sự nghiệp công lập, tổ chức chính trị xã hội và các tổ chức khác).
b) Chi phí mua bảo hiểm bắt buộc trong hoạt động đầu tư xây dựng: Thực hiện theo quy định pháp luật về xây dựng và các quy định tại Nghị định này.
7. Thời hạn thanh toán phí bảo hiểm thực hiện theo quy định của Bộ trưởng Bộ Tài chính. Đối với các hợp đồng bảo hiểm cho các công trình xây dựng thuộc các dự án đầu tư xây dựng quy định tại Nghị định số 50/2021/NĐ-CP ngày 01 tháng 4 năm 2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 37/2015/NĐ-CP ngày 22 tháng 4 năm 2015 của Chính phủ quy định chi tiết về hợp đồng xây dựng, doanh nghiệp bảo hiểm và bên mua bảo hiểm thỏa thuận thời hạn thanh toán phí bảo hiểm ghi trong hợp đồng bảo hiểm và không chậm hơn tiến độ thanh toán của hợp đồng xây dựng. Trong mọi trường hợp, thời hạn thanh toán phí bảo hiểm không được vượt quá thời hạn bảo hiểm.
8. Doanh nghiệp bảo hiểm không có trách nhiệm bồi thường bảo hiểm đối với những khoản tiền phát sinh, tăng thêm do hành vi gian lận bảo hiểm theo quy định tại Bộ luật Hình sự.
9. Doanh nghiệp, tổ chức bảo hiểm nước ngoài đứng đầu nhận tái bảo hiểm và doanh nghiệp, tổ chức bảo hiểm nước ngoài nhận tái bảo hiểm từ 10% tổng mức trách nhiệm của mỗi hợp đồng tái bảo hiểm phải được xếp hạng tối thiểu “BBB” theo Standard & Poor’s hoặc Fitch, “B++” theo A.M.Best, “Baal” theo Moody’s hoặc các kết quả xếp hạng tương đương của các tổ chức có chức năng, kinh nghiệm xếp hạng khác tại năm tài chính gần nhất so với thời điểm giao kết hợp đồng tái bảo hiểm.
10. Các nội dung liên quan đến hợp đồng bảo hiểm không được quy định tại Nghị định này được thực hiện theo pháp luật kinh doanh bảo hiểm và pháp luật có liên quan."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,5,Đối tượng bảo hiểm,"Đối tượng bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới là trách nhiệm dân sự của chủ xe cơ giới đối với người thứ ba, hành khách theo quy định của pháp luật."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,6,Giới hạn trách nhiệm bảo hiểm,"1. Giới hạn trách nhiệm bảo hiểm đối với thiệt hại về sức khỏe, tính mạng do xe cơ giới gây ra là 150 triệu đồng cho một người trong một vụ tai nạn.
2. Giới hạn trách nhiệm bảo hiểm đối với thiệt hại về tài sản:
a) Do xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy (kể cả xe máy điện) và các loại xe có kết cấu tương tự theo quy định của Luật Giao thông đường bộ gây ra là 50 triệu đồng trong một vụ tai nạn.
b) Do xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo theo quy định của Luật Giao thông đường bộ gây ra là 100 triệu đồng trong một vụ tai nạn."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,7,Phạm vi bảo hiểm và loại trừ trách nhiệm bảo hiểm,"1. Phạm vi bảo hiểm
Doanh nghiệp bảo hiểm có trách nhiệm bồi thường cho những thiệt hại sau:
a) Thiệt hại ngoài hợp đồng về sức khỏe, tính mạng và tài sản đối với người thứ ba do xe cơ giới tham gia giao thông, hoạt động gây ra.
b) Thiệt hại về sức khỏe, tính mạng của hành khách trên chiếc xe đó do xe cơ giới tham gia giao thông, hoạt động gây ra.
2. Các trường hợp loại trừ trách nhiệm bảo hiểm
Doanh nghiệp bảo hiểm không có trách nhiệm bồi thường bảo hiểm trong các trường hợp sau:
a) Hành động cố ý gây thiệt hại của chủ xe cơ giới, người lái xe hoặc người bị thiệt hại.
b) Người lái xe gây tai nạn cố ý bỏ chạy không thực hiện trách nhiệm dân sự của chủ xe cơ giới. Trường hợp người lái xe gây tai nạn cố ý bỏ chạy nhưng đã thực hiện trách nhiệm dân sự của chủ xe cơ giới thì không thuộc trường hợp loại trừ trách nhiệm bảo hiểm.
c) Người lái xe không đủ điều kiện về độ tuổi theo quy định của Luật Giao thông đường bộ; người lái xe không có Giấy phép lái xe hoặc sử dụng Giấy phép lái xe không hợp lệ theo quy định của pháp luật về đào tạo, sát hạch, cấp giấy phép lái xe cơ giới đường bộ, Giấy phép lái xe bị tẩy xóa hoặc sử dụng Giấy phép lái xe hết hạn sử dụng tại thời điểm xảy ra tai nạn hoặc sử dụng Giấy phép lái xe không phù hợp đối với xe cơ giới bắt buộc phải có Giấy phép lái xe. Trường hợp người lái xe bị tước quyền sử dụng Giấy phép lái xe có thời hạn hoặc bị thu hồi Giấy phép lái xe thì được coi là không có Giấy phép lái xe.
d) Thiệt hại gây ra hậu quả gián tiếp bao gồm: giảm giá trị thương mại, thiệt hại gắn liền với việc sử dụng và khai thác tài sản bị thiệt hại.
đ) Thiệt hại đối với tài sản do lái xe điều khiển xe cơ giới mà trong máu hoặc hơi thở có nồng độ cồn vượt quá mức trị số bình thường theo hướng dẫn của Bộ Y tế; sử dụng ma túy và chất kích thích bị cấm theo quy định của pháp luật.
e) Thiệt hại đối với tài sản bị mất cắp hoặc bị cướp trong tai nạn.
g) Thiệt hại đối với tài sản đặc biệt bao gồm: vàng, bạc, đá quý, các loại giấy tờ có giá trị như tiền, đồ cổ, tranh ảnh quý hiếm, thi hài, hài cốt.
h) Thiệt hại do chiến tranh, khủng bố, động đất."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,8,Mức phí bảo hiểm,"1. Mức phí bảo hiểm của từng loại xe cơ giới được quy định tại Phụ lục I ban hành kèm theo Nghị định này.
2. Căn cứ vào lịch sử bồi thường bảo hiểm của từng xe cơ giới hoặc lịch sử gây tai nạn của chủ xe cơ giới, doanh nghiệp bảo hiểm chủ động xem xét, điều chỉnh tăng, giảm phí bảo hiểm. Mức tăng, giảm phí bảo hiểm tối đa là 15% tính trên mức phí bảo hiểm quy định tại Phụ lục I ban hành kèm theo Nghị định này."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,9,Thời hạn bảo hiểm,"1. Thời hạn bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới tối thiểu là 1 năm và tối đa là 3 năm, trừ các trường hợp thời hạn bảo hiểm dưới 1 năm sau đây:
a) Xe cơ giới nước ngoài tạm nhập, tái xuất có thời hạn tham gia giao thông trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam dưới 1 năm.
b) Xe cơ giới có niên hạn sử dụng nhỏ hơn 1 năm theo quy định của pháp luật.
c) Xe cơ giới thuộc đối tượng đăng ký tạm thời theo quy định của Bộ trưởng Bộ Công an.
2. Trường hợp chủ xe cơ giới có nhiều xe tham gia bảo hiểm vào nhiều thời điểm khác nhau trong năm nhưng đến năm tiếp theo có nhu cầu đưa về cùng một thời điểm bảo hiểm để quản lý, thời hạn bảo hiểm của các xe này có thể nhỏ hơn 1 năm và bằng thời gian hiệu lực còn lại của hợp đồng bảo hiểm giao kết đầu tiên của năm đó. Thời hạn bảo hiểm của năm tiếp theo đối với các hợp đồng bảo hiểm, Giấy chứng nhận bảo hiểm sau khi được đưa về cùng thời điểm thực hiện theo quy định tại khoản 1 Điều này.
3. Trong thời hạn còn hiệu lực ghi trên Giấy chứng nhận bảo hiểm, nếu có sự chuyển quyền sở hữu xe cơ giới, chủ xe cơ giới cũ có quyền chấm dứt thực hiện hợp đồng bảo hiểm theo quy định tại Điều 11 Nghị định này."
Chương II,QUY ĐỊNH VỀ BẢO HIỂM BẮT BUỘC TRÁCH NHIỆM DÂN SỰ CỦA CHỦ XE CƠ GIỚI,10,Giấy chứng nhận bảo hiểm,"1. Khi mua bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới, chủ xe cơ giới được doanh nghiệp bảo hiểm cấp Giấy chứng nhận bảo hiểm. Mỗi xe cơ giới được cấp 1 Giấy chứng nhận bảo hiểm. Chủ xe cơ giới bị mất Giấy chứng nhận bảo hiểm phải có văn bản đề nghị doanh nghiệp bảo hiểm cấp lại Giấy chứng nhận bảo hiểm.
2. Giấy chứng nhận bảo hiểm do doanh nghiệp bảo hiểm chủ động thiết kế và phải bao gồm các nội dung sau đây:
a) Tên, địa chỉ, số điện thoại (nếu có) của chủ xe cơ giới.
b) Biển số xe và số khung, số máy.
c) Loại xe, trọng tải, số chỗ, mục đích sử dụng đối với xe ô tô.
d) Tên, địa chỉ, số điện thoại đường dây nóng của doanh nghiệp bảo hiểm.
đ) Giới hạn trách nhiệm bảo hiểm đối với người thứ ba.
e) Trách nhiệm của chủ xe cơ giới, người lái xe khi xảy ra tai nạn.
g) Thời hạn bảo hiểm, phí bảo hiểm, thời hạn thanh toán phí bảo hiểm.
h) Ngày, tháng, năm cấp Giấy chứng nhận bảo hiểm.
i) Mã số, mã vạch được đăng ký, quản lý và sử dụng theo quy định của pháp luật để lưu trữ, chuyển tải và truy xuất thông tin định danh doanh nghiệp bảo hiểm và định danh sản phẩm bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới.
3. Trường hợp cấp Giấy chứng nhận bảo hiểm điện tử, doanh nghiệp bảo hiểm phải tuân thủ các quy định của Luật Giao dịch điện tử và các văn bản hướng dẫn thi hành; Giấy chứng nhận bảo hiểm điện tử phải tuân thủ đầy đủ các quy định hiện hành và phản ánh đầy đủ các nội dung quy định tại khoản 2 Điều này."
